LeagueId;Round;MatchDate;PredictionDate;Home;Away;Band;HistoricalStatus;Postponed;SourceFile
Australia_VictoriaPremierLeague;24;2026-08-01;2026-07-31;Manningham United Blues;Port Melbourne Sharks;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_VictoriaPremierLeague;24;2026-08-01;2026-07-31;North Geelong;Bulleen;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_VictoriaPremierLeague;24;2026-08-01;2026-07-31;North Sunshine Eagles;Brunswick Juventus;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_VictoriaPremierLeague2;23;2026-08-01;2026-07-31;Bayside Argonauts;Moreland City;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_VictoriaPremierLeague2;23;2026-08-01;2026-07-31;Malvern;Goulburn Valley Suns;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_VictoriaPremierLeague2;23;2026-08-01;2026-07-31;Werribee City;Nunawading City;BASSA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_WAStateLeague;19;2026-08-01;2026-07-31;Floreat Athena;Kingsley Westside;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_WAStateLeague;19;2026-08-01;2026-07-31;Gwelup Croatia;Subiaco;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_WAStateLeague;19;2026-08-01;2026-07-31;Joondalup;Cockburn City;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_WAStateLeague;19;2026-08-01;2026-07-31;Murdoch Melville;Curtin Univ;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_WAStateLeague;19;2026-08-01;2026-07-31;Nedlands;Mandurah City;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_WAStateLeague;19;2026-08-01;2026-07-31;Quinns;Inglewood;BASSA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Belarus_PershayaLiga;18;2026-08-01;2026-07-31;FC Slonim;Osipovichi;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Belarus_PershayaLiga;18;2026-08-01;2026-07-31;Molodechno;Smorgon;BASSA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
