Engine;NewAltaThreshold;Tot;OK;KO;PercentOK;WilsonLower95;TotNoAU;OKNoAU;KONoAU;PercentOKNoAU;WilsonLower95NoAU
v22def;17.00;3242;2048;1194;63.17;61.50;2605;1646;959;63.19;61.32
v22def;18.00;3240;2047;1193;63.18;61.50;2603;1645;958;63.20;61.33
v22def;19.00;3238;2046;1192;63.19;61.51;2601;1644;957;63.21;61.33
v22def;20.00;3234;2043;1191;63.17;61.50;2597;1641;956;63.19;61.32
v22def;21.00;3230;2040;1190;63.16;61.48;2593;1638;955;63.17;61.30
v22def;22.00;3229;2039;1190;63.15;61.47;2592;1637;955;63.16;61.28
v22def;23.00;3226;2039;1187;63.21;61.53;2589;1637;952;63.23;61.35
v22def;24.00;3225;2038;1187;63.19;61.51;2588;1636;952;63.21;61.34
v22def;25.00;3221;2036;1185;63.21;61.53;2584;1634;950;63.24;61.36
v22def;26.00;3216;2033;1183;63.22;61.53;2579;1631;948;63.24;61.36
v22def;27.00;3215;2032;1183;63.20;61.52;2578;1630;948;63.23;61.35
v22def;28.00;3211;2031;1180;63.25;61.57;2574;1629;945;63.29;61.41
v22def;29.00;3204;2028;1176;63.30;61.61;2568;1626;942;63.32;61.44
v22def;30.00;3199;2025;1174;63.30;61.62;2563;1623;940;63.32;61.44
v22def;31.00;3188;2019;1169;63.33;61.64;2552;1617;935;63.36;61.47
v22def;32.00;3174;2015;1159;63.48;61.79;2538;1613;925;63.55;61.66
v22def;33.00;3158;2005;1153;63.49;61.79;2523;1604;919;63.58;61.68
v22def;34.00;3142;1997;1145;63.56;61.86;2509;1596;913;63.61;61.71
v22def;35.00;3119;1989;1130;63.77;62.07;2486;1588;898;63.88;61.97
v22def;36.00;3095;1977;1118;63.88;62.17;2462;1576;886;64.01;62.10
v22def;37.00;3072;1967;1105;64.03;62.32;2439;1566;873;64.21;62.28
v22def;38.00;3044;1950;1094;64.06;62.34;2418;1553;865;64.23;62.29
v22def;39.00;3014;1930;1084;64.03;62.30;2389;1533;856;64.17;62.22
v22def;40.00;2984;1913;1071;64.11;62.37;2362;1517;845;64.23;62.27
v22def;41.00;2962;1897;1065;64.04;62.30;2341;1502;839;64.16;62.20
v22def;42.00;2936;1885;1051;64.20;62.45;2319;1492;827;64.34;62.37
v22def;43.00;2886;1857;1029;64.35;62.58;2277;1469;808;64.51;62.53
v22def;44.00;2825;1818;1007;64.35;62.57;2220;1432;788;64.50;62.49
v22def;45.00;2774;1791;983;64.56;62.76;2183;1415;768;64.82;62.79
v22def;46.00;2724;1766;958;64.83;63.02;2142;1395;747;65.13;63.08
v22def;47.00;2675;1738;937;64.97;63.14;2103;1371;732;65.19;63.13
v22def;48.00;2608;1703;905;65.30;63.45;2044;1341;703;65.61;63.52
v22def;49.00;2555;1675;880;65.56;63.69;2000;1317;683;65.85;63.74
v22def;50.00;2497;1643;854;65.80;63.92;1954;1290;664;66.02;63.89
v22def;51.00;2437;1610;827;66.06;64.16;1902;1259;643;66.19;64.04
v22def;52.00;2380;1579;801;66.34;64.42;1851;1232;619;66.56;64.38
v22def;53.00;2328;1556;772;66.84;64.90;1808;1212;596;67.04;64.83
v22def;54.00;2250;1515;735;67.33;65.37;1739;1177;562;67.68;65.45
v22def;55.00;2181;1472;709;67.49;65.50;1683;1143;540;67.91;65.65
v22def;56.00;2104;1428;676;67.87;65.84;1620;1107;513;68.33;66.03
v22def;57.00;2042;1381;661;67.63;65.57;1570;1069;501;68.09;65.74
v22def;58.00;1982;1345;637;67.86;65.77;1522;1039;483;68.27;65.88
v22def;59.00;1919;1304;615;67.95;65.83;1473;1009;464;68.50;66.08
v22def;60.00;1850;1261;589;68.16;66.00;1412;972;440;68.84;66.37
v22def;61.00;1779;1222;557;68.69;66.50;1362;946;416;69.46;66.96
v22def;62.00;1702;1169;533;68.68;66.44;1307;905;402;69.24;66.69
v22def;63.00;1620;1115;505;68.83;66.53;1246;864;382;69.34;66.73
v22def;64.00;1542;1069;473;69.33;66.98;1181;827;354;70.03;67.35
v22def;65.00;1476;1022;454;69.24;66.84;1130;790;340;69.91;67.17
v22def;66.00;1402;976;426;69.61;67.16;1072;752;320;70.15;67.34
v22def;67.00;1332;928;404;69.67;67.15;1020;718;302;70.39;67.52
v22def;68.00;1250;868;382;69.44;66.83;955;668;287;69.95;66.96
v22def;69.00;1181;828;353;70.11;67.44;904;641;263;70.91;67.86
v22def;70.00;1111;781;330;70.30;67.54;851;603;248;70.86;67.72
v22def;71.00;1038;738;300;71.10;68.27;791;568;223;71.81;68.57
v22def;72.00;965;690;275;71.50;68.57;731;527;204;72.09;68.73
v22def;73.00;904;651;253;72.01;69.00;681;496;185;72.83;69.37
v22def;74.00;840;613;227;72.98;69.87;629;462;167;73.45;69.86
v22def;75.00;780;572;208;73.33;70.12;583;430;153;73.76;70.04
v22def;76.00;710;525;185;73.94;70.59;536;400;136;74.63;70.78
v22def;77.00;646;483;163;74.77;71.28;486;367;119;75.51;71.50
v22def;78.00;589;439;150;74.53;70.86;444;337;107;75.90;71.71
v22def;79.00;524;391;133;74.62;70.72;397;302;95;76.07;71.64
v22def;80.00;471;354;117;75.16;71.06;361;275;86;76.18;71.52
v22def;81.00;416;313;103;75.24;70.87;325;250;75;76.92;72.04
v22def;82.00;376;281;95;74.73;70.11;298;228;70;76.51;71.38
v22def;83.00;322;240;82;74.53;69.51;256;197;59;76.95;71.42
v22def;84.00;279;204;75;73.12;67.63;224;170;54;75.89;69.89
v22def;85.00;243;177;66;72.84;66.92;196;150;46;76.53;70.12
