MatchDate;LeagueId;Home;Away;Over25;ScoreV25;ScoreV251;ScoreDelta;BandV25;BandV251;StrongDefenseAdjustment;RecentFormAdjustment;RestartAdjustment;TotalAdjustment;ReasonV251
2026-09-06;Poland_Division2;Tychy;Avia Swidnik;KO;66.23;65.23;-1.0;MEDIA;MEDIA;-1.0;0.0;0.0;-1.0;"PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente trasferta || CONTRO: v22 monitora possibile sopravvalutazione weak_ga | trend over casa non forte | profilo over interno debole | profilo over esterno debole | BTTS basso: possibile partita a senso unico || V251_DIAGNOSTICS[BaseScore=66.23;StrongDefense=-1.00;RecentForm=0.00;Restart=0.00;Total=-1.00] || CONTRO V251: difesa solida (0.83 GA/gara)"
2026-09-06;Poland_Ekstraklasa;Lech;Rakow;KO;85.68;84.68;-1.0;ALTA;ALTA;-1.0;0.0;0.0;-1.0;"PRO: attacco casa positivo | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: ospite poco prolifico: rischio 1-0 / 2-0 | v22 monitora possibile sopravvalutazione weak_ga || V251_DIAGNOSTICS[BaseScore=85.68;StrongDefense=-1.00;RecentForm=0.00;Restart=0.00;Total=-1.00] || CONTRO V251: difesa solida (0.80 GA/gara)"
2026-09-06;Poland_IIILiga_Group1;Mlawa;LKS Lodz 2;KO;66.89;65.89;-1.0;MEDIA;MEDIA;0.0;-1.0;0.0;-1.0;"PRO: difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | profilo over esterno positivo || CONTRO: attacco casa non dominante | ospite poco prolifico: rischio 1-0 / 2-0 | v22 monitora possibile sopravvalutazione weak_ga | trend over trasferta non forte | profilo over interno debole | BTTS basso: possibile partita a senso unico || V251_DIAGNOSTICS[BaseScore=66.89;StrongDefense=0.00;RecentForm=-1.00;Restart=0.00;Total=-1.00] || CONTRO V251: entrambe con PPG ultime5 basso (0.20+0.60)"
2026-09-06;Poland_IIILiga_Group1;Suwalki;Lidzbark Warminski;OK;65.56;63.56;-2.0;MEDIA;MEDIA;-2.0;0.0;0.0;-2.0;"PRO: attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente trasferta | profilo over esterno positivo | alta tendenza BTTS || CONTRO: attacco casa non dominante | v22 monitora possibile sopravvalutazione weak_ga | trend over casa non forte | profilo over interno debole || V251_DIAGNOSTICS[BaseScore=65.56;StrongDefense=-2.00;RecentForm=0.00;Restart=0.00;Total=-2.00] || CONTRO V251: difesa molto solida (0.50 GA/gara)"
2026-09-06;Poland_IIILiga_Group4;Busko-Zdroj;Wislanie Skawina;OK;70.92;69.92;-1.0;MEDIA;MEDIA;-1.0;0.0;0.0;-1.0;"PRO: difesa casa vulnerabile | trend over recente casa | profilo over interno positivo | alta tendenza BTTS || CONTRO: attacco casa non dominante | ospite poco prolifico: rischio 1-0 / 2-0 | trend over trasferta non forte | profilo over esterno debole || V251_DIAGNOSTICS[BaseScore=70.92;StrongDefense=-1.00;RecentForm=0.00;Restart=0.00;Total=-1.00] || CONTRO V251: difesa solida (0.80 GA/gara)"
2026-09-06;Poland_IIILiga_Group4;Wisloka Debica;Biala Podlaska;KO;51.87;50.87;-1.0;BASSA;BASSA;-1.0;0.0;0.0;-1.0;"PRO: difesa casa vulnerabile | trend over recente casa | profilo over interno positivo || CONTRO: attacco casa non dominante | ospite poco prolifico: rischio 1-0 / 2-0 | trend over trasferta non forte | profilo over esterno debole | BTTS basso: possibile partita a senso unico || V251_DIAGNOSTICS[BaseScore=51.87;StrongDefense=-1.00;RecentForm=0.00;Restart=0.00;Total=-1.00] || CONTRO V251: difesa solida (0.80 GA/gara)"
2026-09-06;Romania_Liga2;CSM Satu Mare;Politehnica Timisoara;KO;39.19;37.19;-2.0;BASSA;BASSA;-2.0;0.0;0.0;-2.0;"PRO: attacco trasferta positivo || CONTRO: attacco casa non dominante | trend over casa non forte | trend over trasferta non forte | profilo over interno debole | profilo over esterno debole | BTTS basso: possibile partita a senso unico || V251_DIAGNOSTICS[BaseScore=39.19;StrongDefense=-2.00;RecentForm=0.00;Restart=0.00;Total=-2.00] || CONTRO V251: difesa molto solida (0.40 GA/gara)"
2026-09-06;Romania_Superliga;Otelul;Rapid Bucarest;KO;36.77;34.77;-2.0;BASSA;BASSA;-2.0;0.0;0.0;-2.0;"PRO: nessun indicatore over forte || CONTRO: attacco casa non dominante | ospite poco prolifico: rischio 1-0 / 2-0 | trend over casa non forte | trend over trasferta non forte | profilo over interno debole | profilo over esterno debole | BTTS basso: possibile partita a senso unico || V251_DIAGNOSTICS[BaseScore=36.77;StrongDefense=-2.00;RecentForm=0.00;Restart=0.00;Total=-2.00] || CONTRO V251: difesa molto solida (0.57 GA/gara)"
2026-09-06;Romania_Superliga;Petrolul;Corvinul;KO;33.25;31.25;-2.0;BASSA;BASSA;-2.0;0.0;0.0;-2.0;"PRO: nessun indicatore over forte || CONTRO: attacco casa non dominante | ospite poco prolifico: rischio 1-0 / 2-0 | trend over casa non forte | trend over trasferta non forte | profilo over interno debole | profilo over esterno debole | BTTS basso: possibile partita a senso unico || V251_DIAGNOSTICS[BaseScore=33.25;StrongDefense=-2.00;RecentForm=0.00;Restart=0.00;Total=-2.00] || CONTRO V251: difesa molto solida (0.57 GA/gara)"
2026-09-06;Russia_FNL;Ural;Kamaz;KO;58.55;56.55;-2.0;BASSA;BASSA;-2.0;0.0;0.0;-2.0;"PRO: attacco casa positivo | difesa trasferta vulnerabile || CONTRO: ospite poco prolifico: rischio 1-0 / 2-0 | v22 monitora possibile sopravvalutazione weak_ga | trend over casa non forte | trend over trasferta non forte | profilo over interno debole | profilo over esterno debole | BTTS basso: possibile partita a senso unico || V251_DIAGNOSTICS[BaseScore=58.55;StrongDefense=-2.00;RecentForm=0.00;Restart=0.00;Total=-2.00] || CONTRO V251: difesa molto solida (0.50 GA/gara)"
