MatchId;PredictionDate;MatchDate;LeagueId;Round;Home;Away;Score;Band;Outcome;HG;AG;Goals;AlgorithmVersion;ResolvedResultFile;ResolvedMatchDate;HomeRecentMatches;HomeRecentPoints;HomeRecentPPG5;HomeRecentWins5;HomeRecentDraws5;HomeRecentLosses5;HomeRecentGF5;HomeRecentGA5;HomeRecentOver25Rate5;AwayRecentMatches;AwayRecentPoints;AwayRecentPPG5;AwayRecentWins5;AwayRecentDraws5;AwayRecentLosses5;AwayRecentGF5;AwayRecentGA5;AwayRecentOver25Rate5;WorstRecentPPG5;AverageRecentPPG5;BothBelow080;BothWinless5;RecentFormBucket;ProposedPenalty;SimulatedScore;SimulatedBand;WouldLeaveAlta
44;2026-07-08;;USA_USLLeagueTwo_GreatLakes;23;Union FC Macomb;Ann Arbor;93.89;ALTA;OK;2;2;4;2.5.0;data\storico\risultati\USA_USLLeagueTwo_GreatLakes.csv;2026-07-09;5;4;0.8000;1;1;3;11;18;1.0000;5;9;1.8000;3;0;2;12;10;0.8000;0.8000;1.3000;0;0;0.80-1.19;1;92.89;ALTA;0
45;2026-07-08;;USA_USLLeagueTwo_GreatPlains;20;Springfield FC;Menace;72.76;MEDIA;OK;2;4;6;2.5.0;data\storico\risultati\USA_USLLeagueTwo_GreatPlains.csv;2026-07-09;5;4;0.8000;1;1;3;8;17;1.0000;5;9;1.8000;2;3;0;5;2;0.2000;0.8000;1.3000;0;0;0.80-1.19;1;71.76;MEDIA;0
46;2026-07-08;;USA_USLLeagueTwo_GreatPlains;20;Sunflower State;Peoria;75.26;ALTA;OK;1;3;4;2.5.0;data\storico\risultati\USA_USLLeagueTwo_GreatPlains.csv;2026-07-08;5;3;0.6000;1;0;4;6;16;0.8000;5;10;2.0000;3;1;1;10;4;0.4000;0.6000;1.3000;0;0;0.40-0.79;2;73.26;MEDIA;1
47;2026-07-08;;USA_USLLeagueTwo_Metropolitan;26;Hudson Valley;Motown 2;81.72;ALTA;OK;0;5;5;2.5.0;data\storico\risultati\USA_USLLeagueTwo_Metropolitan.csv;2026-07-09;5;8;1.6000;2;2;1;12;10;0.8000;5;10;2.0000;3;1;1;14;2;0.6000;1.6000;1.8000;0;0;>=1.20;0;81.72;ALTA;0
48;2026-07-08;;USA_USLLeagueTwo_MidAtlantic;29;Delaware;Eagle FC;79.07;ALTA;OK;4;1;5;2.5.0;data\storico\risultati\USA_USLLeagueTwo_MidAtlantic.csv;2026-07-09;5;8;1.6000;2;2;1;12;4;0.6000;5;1;0.2000;0;1;4;3;13;0.8000;0.2000;0.9000;0;0;<0.40;3;76.07;ALTA;0
49;2026-07-08;;USA_USLLeagueTwo_Mountain;26;Colorado Storm;Atletico Union;69.11;MEDIA;KO;2;0;2;2.5.0;data\storico\risultati\USA_USLLeagueTwo_Mountain.csv;2026-07-09;5;13;2.6000;4;1;0;11;1;0.6000;5;4;0.8000;1;1;3;6;9;0.8000;0.8000;1.7000;0;0;0.80-1.19;1;68.11;MEDIA;0
50;2026-07-08;;USA_USLLeagueTwo_Mountain;26;Real Colorado;Albion Colorado;86.06;ALTA;OK;2;3;5;2.5.0;data\storico\risultati\USA_USLLeagueTwo_Mountain.csv;2026-07-09;5;7;1.4000;2;1;2;10;11;1.0000;5;10;2.0000;3;1;1;9;3;0.4000;1.4000;1.7000;0;0;>=1.20;0;86.06;ALTA;0
52;2026-07-08;;USA_USLLeagueTwo_Northeast;30;AC Connecticut;Western Mass Pioneers;68.47;MEDIA;KO;0;2;2;2.5.0;data\storico\risultati\USA_USLLeagueTwo_Northeast.csv;2026-07-09;5;3;0.6000;1;0;4;4;6;0.4000;5;8;1.6000;2;2;1;9;8;0.6000;0.6000;1.1000;0;0;0.40-0.79;2;66.47;MEDIA;0
53;2026-07-08;;USA_USLLeagueTwo_Northeast;30;NEFC;Boston City;89.16;ALTA;OK;4;2;6;2.5.0;data\storico\risultati\USA_USLLeagueTwo_Northeast.csv;2026-07-09;5;9;1.8000;3;0;2;6;12;1.0000;5;1;0.2000;0;1;4;7;24;0.8000;0.2000;1.0000;0;0;<0.40;3;86.16;ALTA;0
54;2026-07-08;;USA_USLLeagueTwo_Northeast;30;Vermont Green;Connecticut Rush;79.91;ALTA;OK;6;2;8;2.5.0;data\storico\risultati\USA_USLLeagueTwo_Northeast.csv;2026-07-09;5;13;2.6000;4;1;0;23;5;1.0000;5;4;0.8000;1;1;3;4;7;0.4000;0.8000;1.7000;0;0;0.80-1.19;1;78.91;ALTA;0
