Rule;N;GOAL;NO_GOAL;BTTSRate;CoveragePct;LiftVsBaseline
MinOverL7>=0.7 AND MinGAL8>=1.4;1380;938;442;67.97;15.97;7.25
MinOverL5>=0.7 AND MinGFL8>=1.2;1255;853;402;67.97;14.52;7.25
MinOverL5>=0.8 AND MinGFL8>=1.2;1255;853;402;67.97;14.52;7.25
MinGFL5>=1.8 AND AvgBTTSL5>=0.7;1096;745;351;67.97;12.68;7.25
MinGFL8>=1.8 AND MinBTTSL7>=0.7;487;331;156;67.97;5.63;7.25
MinGFL8>=1.6 AND AvgGAFull>=1.4;1598;1086;512;67.96;18.49;7.24
MinGFL8>=1.6 AND MinBTTSFull>=0.6;1186;806;380;67.96;13.72;7.24
MinBTTSFull>=0.7 AND AvgBTTSL8>=0.6;796;541;255;67.96;9.21;7.25
MinBTTSFull>=0.7 AND MinGFL5>=1.0;746;507;239;67.96;8.63;7.24
MinGFL5>=1.8 AND MinGAL7>=1.0;1298;882;416;67.95;15.02;7.23
MinOverL7>=0.8 AND MinGFL7>=1.4;599;407;192;67.95;6.93;7.23
MinBTTSL7>=0.8 AND MinGAFull>=1.4;312;212;100;67.95;3.61;7.23
MinBTTSL8>=0.8 AND MinGFL5>=1.4;259;176;83;67.95;3.0;7.23
MinGFL5>=1.4 AND MinGAL5>=1.2;2062;1401;661;67.94;23.86;7.22
MinGFL5>=1.4 AND AvgGAL5>=1.6;1909;1297;612;67.94;22.09;7.22
AvgBTTSL8>=0.7 AND MinGAL7>=1.2;1566;1064;502;67.94;18.12;7.22
MinBTTSFull>=0.7 AND MinBTTSL8>=0.6;783;532;251;67.94;9.06;7.22
MinOverL7>=0.8 AND MinBTTSL8>=0.5;708;481;227;67.94;8.19;7.22
MinOverL7>=0.7 AND AvgBTTSL7>=0.8;418;284;134;67.94;4.84;7.22
MinGFL7>=1.2 AND AvgGAFull>=1.6;2145;1457;688;67.93;24.82;7.21
AvgBTTSFull>=0.7 AND MinGFL7>=1.6;845;574;271;67.93;9.78;7.21
MinBTTSFull>=0.7 AND AvgBTTSL7>=0.6;789;536;253;67.93;9.13;7.21
MinBTTSL8>=0.8 AND MinGFL8>=1.2;290;197;93;67.93;3.36;7.21
MinGFL7>=1.2 AND AvgGAL7>=1.6;2207;1499;708;67.92;25.54;7.2
MinOverL8>=0.7 AND MinGAL5>=1.2;1334;906;428;67.92;15.43;7.2
MinBTTSFull>=0.7 AND MinGFL7>=1.2;667;453;214;67.92;7.72;7.2
AvgBTTSL7>=0.8 AND MinGFFull>=1.4;480;326;154;67.92;5.55;7.2
MinGFL5>=1.8 AND MinBTTSFull>=0.5;1343;912;431;67.91;15.54;7.19
MinBTTSL8>=0.8 AND MinOverL5>=0.7;187;127;60;67.91;2.16;7.19
MinBTTSL8>=0.8 AND MinOverL5>=0.8;187;127;60;67.91;2.16;7.19
MinGAL5>=1.4 AND MinGFL8>=1.2;2003;1360;643;67.9;23.17;7.18
MinOverL7>=0.8 AND AvgGAL8>=1.4;732;497;235;67.9;8.47;7.18
MinOverFull>=0.7 AND MinOverL7>=0.8;704;478;226;67.9;8.15;7.18
MinGFL5>=1.8 AND AvgBTTSL8>=0.6;1330;903;427;67.89;15.39;7.18
MinGFL8>=1.8 AND MinOverL5>=0.5;1202;816;386;67.89;13.91;7.17
MinGFL8>=1.8 AND MinOverL5>=0.6;1202;816;386;67.89;13.91;7.17
MinOverL7>=0.8 AND AvgGAL7>=1.4;735;499;236;67.89;8.5;7.17
MinGAL7>=1.4 AND MinGFL5>=1.2;2011;1365;646;67.88;23.27;7.16
MinGFFull>=1.6 AND MinOverL8>=0.6;1606;1090;516;67.87;18.58;7.15
MinBTTSL8>=0.7 AND MinGAL8>=1.2;890;604;286;67.87;10.3;7.15
MinOverL7>=0.8 AND MinBTTSFull>=0.6;526;357;169;67.87;6.09;7.15
MinBTTSFull>=0.6 AND MinGAL7>=1.4;1621;1100;521;67.86;18.76;7.14
MinOverL8>=0.7 AND AvgBTTSL7>=0.6;1372;931;441;67.86;15.87;7.14
MinOverL8>=0.7 AND AvgBTTSFull>=0.7;840;570;270;67.86;9.72;7.14
MinOverL5>=0.7 AND AvgBTTSL8>=0.7;784;532;252;67.86;9.07;7.14
MinOverL5>=0.8 AND AvgBTTSL8>=0.7;784;532;252;67.86;9.07;7.14
MinOverL7>=0.8 AND MinGAL7>=1.0;728;494;234;67.86;8.42;7.14
MinBTTSL8>=0.8 AND AvgGAL8>=1.6;280;190;90;67.86;3.24;7.14
MinOverFull>=0.7 AND MinBTTSL8>=0.4;1381;937;444;67.85;15.98;7.13
AvgBTTSL8>=0.7 AND MinGFL7>=1.6;874;593;281;67.85;10.11;7.13
MinGFL7>=1.8 AND AvgBTTSFull>=0.7;650;441;209;67.85;7.52;7.13
AvgBTTSFull>=0.8 AND MinBTTSL7>=0.6;507;344;163;67.85;5.87;7.13
MinBTTSL7>=0.8 AND MinGAL7>=1.4;342;232;110;67.84;3.96;7.12
MinBTTSFull>=0.8 AND AvgGAFull>=1.4;255;173;82;67.84;2.95;7.12
MinOverFull>=0.7 AND MinOverL5>=0.5;1436;974;462;67.83;16.61;7.11
MinOverFull>=0.7 AND MinOverL5>=0.6;1436;974;462;67.83;16.61;7.11
MinBTTSL8>=0.7 AND MinGFL8>=1.6;575;390;185;67.83;6.65;7.11
MinGFL8>=1.6 AND AvgBTTSFull>=0.6;1712;1161;551;67.82;19.81;7.1
AvgBTTSFull>=0.7 AND MinGAL8>=1.2;1563;1060;503;67.82;18.08;7.1
MinGFL7>=1.2 AND MinGAFull>=1.2;2510;1702;808;67.81;29.04;7.09
MinOverL7>=0.7 AND AvgBTTSFull>=0.6;1684;1142;542;67.81;19.48;7.1
AvgBTTSFull>=0.7 AND MinGAFull>=1.4;1345;912;433;67.81;15.56;7.09
MinOverL5>=0.7 AND AvgBTTSFull>=0.6;1258;853;405;67.81;14.56;7.09
MinOverL5>=0.8 AND AvgBTTSFull>=0.6;1258;853;405;67.81;14.56;7.09
MinOverL5>=0.7 AND AvgBTTSL7>=0.7;960;651;309;67.81;11.11;7.09
MinOverL5>=0.8 AND AvgBTTSL7>=0.7;960;651;309;67.81;11.11;7.09
MinOverL7>=0.8 AND AvgBTTSL7>=0.6;702;476;226;67.81;8.12;7.09
MinOverL7>=0.8 AND MinBTTSL7>=0.5;668;453;215;67.81;7.73;7.09
MinOverL8>=0.7 AND MinGFL8>=1.2;1348;914;434;67.8;15.6;7.08
MinOverL7>=0.7 AND AvgBTTSFull>=0.7;969;657;312;67.8;11.21;7.08
MinBTTSL8>=0.8 AND MinOverFull>=0.5;295;200;95;67.8;3.41;7.08
MinBTTSFull>=0.8 AND MinOverL8>=0.4;264;179;85;67.8;3.05;7.08
MinGFL5>=1.6 AND AvgGAFull>=1.4;1723;1168;555;67.79;19.94;7.07
MinOverL7>=0.6 AND MinGFL7>=1.6;1248;846;402;67.79;14.44;7.07
MinBTTSL8>=0.7 AND MinGFL7>=1.8;385;261;124;67.79;4.45;7.07
MinGFL7>=1.6 AND MinBTTSFull>=0.6;1049;711;338;67.78;12.14;7.06
MinGAL5>=1.4 AND MinGFFull>=1.2;2091;1417;674;67.77;24.19;7.05
AvgBTTSL5>=0.8 AND MinGAL7>=1.4;1089;738;351;67.77;12.6;7.05
MinOverL7>=0.8 AND MinGFL5>=1.2;667;452;215;67.77;7.72;7.05
MinGFL8>=1.6 AND MinOverL7>=0.6;1343;910;433;67.76;15.54;7.04
MinBTTSL7>=0.7 AND MinGAFull>=1.4;980;664;316;67.76;11.34;7.04
MinGFL7>=1.6 AND AvgBTTSFull>=0.6;1513;1025;488;67.75;17.51;7.03
MinOverFull>=0.6 AND MinGFL7>=1.6;1414;958;456;67.75;16.36;7.03
MinOverL5>=0.7 AND AvgBTTSFull>=0.7;769;521;248;67.75;8.9;7.03
MinOverL5>=0.8 AND AvgBTTSFull>=0.7;769;521;248;67.75;8.9;7.03
AvgBTTSL8>=0.8 AND AvgGAFull>=1.6;679;460;219;67.75;7.86;7.03
MinOverL5>=0.7 AND MinBTTSL5>=0.7;583;395;188;67.75;6.75;7.03
MinOverL5>=0.7 AND MinBTTSL5>=0.8;583;395;188;67.75;6.75;7.03
MinOverL5>=0.8 AND MinBTTSL5>=0.7;583;395;188;67.75;6.75;7.03
MinOverL5>=0.8 AND MinBTTSL5>=0.8;583;395;188;67.75;6.75;7.03
MinOverL7>=0.8 AND MinGFFull>=1.4;592;401;191;67.74;6.85;7.02
MinGFL8>=1.8 AND AvgBTTSL7>=0.6;1094;741;353;67.73;12.66;7.01
AvgBTTSL7>=0.7 AND MinGAL5>=1.4;1710;1158;552;67.72;19.78;7.0
MinGFL8>=1.8 AND MinGAL7>=1.0;1072;726;346;67.72;12.4;7.0
MinBTTSL8>=0.7 AND MinGAFull>=1.2;852;577;275;67.72;9.86;7.0
MinBTTSFull>=0.8 AND AvgGAL8>=1.4;254;172;82;67.72;2.94;7.0
MinBTTSFull>=0.8 AND AvgGAL7>=1.4;254;172;82;67.72;2.94;7.0
MinGFL8>=1.8 AND MinBTTSFull>=0.5;1115;755;360;67.71;12.9;6.99
MinGFFull>=1.4 AND MinGAL5>=1.2;1997;1352;645;67.7;23.11;6.98
MinGAFull>=1.4 AND MinGFL5>=1.2;1972;1335;637;67.7;22.82;6.98
MinGFL8>=1.4 AND MinGAL5>=1.2;1833;1241;592;67.7;21.21;6.98
MinGFFull>=1.8 AND MinGFL8>=1.8;1192;807;385;67.7;13.79;6.98
MinOverL7>=0.8 AND MinOverFull>=0.6;777;526;251;67.7;8.99;6.98
AvgBTTSL8>=0.8 AND MinOverL5>=0.5;740;501;239;67.7;8.56;6.98
AvgBTTSL8>=0.8 AND MinOverL5>=0.6;740;501;239;67.7;8.56;6.98
MinOverL8>=0.6 AND MinGAFull>=1.4;2206;1493;713;67.68;25.52;6.96
MinGFL8>=1.4 AND AvgGAL7>=1.4;2113;1430;683;67.68;24.45;6.96
AvgBTTSFull>=0.7 AND MinGAL7>=1.2;1519;1028;491;67.68;17.57;6.96
MinGFFull>=1.8 AND MinGFL5>=1.4;1343;909;434;67.68;15.54;6.96
MinOverL5>=0.7 AND MinGFL5>=1.2;1318;892;426;67.68;15.25;6.96
MinOverL5>=0.8 AND MinGFL5>=1.2;1318;892;426;67.68;15.25;6.96
MinOverL7>=0.8 AND AvgGAFull>=1.4;727;492;235;67.68;8.41;6.96
MinOverL5>=0.7 AND MinBTTSFull>=0.6;894;605;289;67.67;10.34;6.95
MinOverL5>=0.8 AND MinBTTSFull>=0.6;894;605;289;67.67;10.34;6.95
AvgBTTSL8>=0.8 AND MinOverL7>=0.7;532;360;172;67.67;6.16;6.95
MinGAL8>=1.4 AND MinOverL8>=0.6;2149;1454;695;67.66;24.86;6.94
MinOverL8>=0.7 AND AvgGAL8>=1.6;1370;927;443;67.66;15.85;6.94
MinGFL7>=1.8 AND MinBTTSFull>=0.6;773;523;250;67.66;8.94;6.94
MinBTTSFull>=0.7 AND MinBTTSL8>=0.7;640;433;207;67.66;7.4;6.94
MinBTTSFull>=0.8;269;182;87;67.66;3.11;6.94
AvgBTTSFull>=0.8 AND MinBTTSFull>=0.8;269;182;87;67.66;3.11;6.94
MinBTTSFull>=0.7 AND MinBTTSFull>=0.8;269;182;87;67.66;3.11;6.94
MinBTTSFull>=0.8 AND AvgBTTSFull>=0.7;269;182;87;67.66;3.11;6.94
MinBTTSFull>=0.8 AND AvgBTTSL7>=0.7;269;182;87;67.66;3.11;6.94
MinBTTSFull>=0.8 AND MinBTTSFull>=0.6;269;182;87;67.66;3.11;6.94
MinBTTSFull>=0.8 AND AvgBTTSFull>=0.6;269;182;87;67.66;3.11;6.94
MinBTTSFull>=0.8 AND AvgBTTSL7>=0.6;269;182;87;67.66;3.11;6.94
MinBTTSFull>=0.8 AND AvgBTTSL8>=0.6;269;182;87;67.66;3.11;6.94
MinBTTSFull>=0.8 AND MinBTTSFull>=0.5;269;182;87;67.66;3.11;6.94
MinBTTSFull>=0.8 AND MinBTTSL8>=0.5;269;182;87;67.66;3.11;6.94
MinBTTSFull>=0.8 AND MinBTTSL7>=0.5;269;182;87;67.66;3.11;6.94
MinBTTSFull>=0.8 AND AvgBTTSL5>=0.6;269;182;87;67.66;3.11;6.94
MinBTTSFull>=0.8 AND MinBTTSL8>=0.4;269;182;87;67.66;3.11;6.94
MinGFFull>=1.8 AND MinBTTSL7>=0.8;167;113;54;67.66;1.93;6.95
MinGFL7>=1.2 AND AvgGAL8>=1.6;2229;1508;721;67.65;25.79;6.93
MinOverFull>=0.6 AND MinGFL8>=1.6;1592;1077;515;67.65;18.42;6.93
MinOverL5>=0.7 AND MinGAL8>=1.4;1020;690;330;67.65;11.8;6.93
MinOverL5>=0.8 AND MinGAL8>=1.4;1020;690;330;67.65;11.8;6.93
MinGAL8>=1.4 AND AvgBTTSL5>=0.8;986;667;319;67.65;11.41;6.93
MinBTTSL7>=0.8 AND MinGAL5>=1.4;340;230;110;67.65;3.93;6.93
MinGAL8>=1.4 AND MinGFL5>=1.0;2296;1553;743;67.64;26.56;6.92
MinGFFull>=1.4 AND AvgGAL7>=1.4;2293;1551;742;67.64;26.53;6.92
MinGFL8>=1.2 AND AvgGAL5>=1.6;2450;1657;793;67.63;28.35;6.91
AvgBTTSL7>=0.7 AND MinGAL7>=1.4;1693;1145;548;67.63;19.59;6.91
MinOverL7>=0.7 AND MinGAL7>=1.4;1492;1009;483;67.63;17.26;6.91
MinGFFull>=1.6 AND MinBTTSL8>=0.6;1248;844;404;67.63;14.44;6.91
MinGAL8>=1.4 AND MinBTTSL7>=0.7;967;654;313;67.63;11.19;6.91
MinOverL7>=0.8 AND MinGFL5>=1.0;723;489;234;67.63;8.37;6.92
MinOverL8>=0.7 AND MinBTTSL8>=0.7;553;374;179;67.63;6.4;6.91
MinBTTSL8>=0.7 AND MinGAL5>=1.4;738;499;239;67.62;8.54;6.9
MinGFFull>=1.6 AND AvgBTTSL8>=0.6;1689;1142;547;67.61;19.54;6.89
MinOverL7>=0.8 AND AvgBTTSL8>=0.6;707;478;229;67.61;8.18;6.89
AvgBTTSL8>=0.8 AND AvgGAL7>=1.6;707;478;229;67.61;8.18;6.89
MinBTTSL8>=0.8 AND MinGFL7>=1.2;284;192;92;67.61;3.29;6.89
MinBTTSL8>=0.8 AND MinGAL7>=1.2;284;192;92;67.61;3.29;6.89
MinGFL7>=1.4 AND AvgGAL7>=1.4;2275;1538;737;67.6;26.32;6.88
MinOverL8>=0.7 AND AvgBTTSL7>=0.7;1040;703;337;67.6;12.03;6.88
MinOverL8>=0.7 AND AvgGAFull>=1.6;1305;882;423;67.59;15.1;6.87
MinBTTSL8>=0.8 AND MinGFL7>=1.4;253;171;82;67.59;2.93;6.87
MinGFL7>=1.2 AND MinGAL7>=1.2;2329;1574;755;67.58;26.95;6.86
MinGFFull>=1.6 AND AvgBTTSL5>=0.7;1314;888;426;67.58;15.2;6.86
AvgBTTSL8>=0.7 AND MinGFL8>=1.6;987;667;320;67.58;11.42;6.86
MinOverL7>=0.8 AND MinGFL7>=1.2;660;446;214;67.58;7.64;6.86
MinGFL5>=1.8 AND MinOverL7>=0.5;1514;1023;491;67.57;17.52;6.85
MinOverL8>=0.7 AND MinBTTSFull>=0.5;1409;952;457;67.57;16.3;6.85
MinOverL8>=0.7 AND MinOverL5>=0.7;1178;796;382;67.57;13.63;6.85
MinOverL8>=0.7 AND MinOverL5>=0.8;1178;796;382;67.57;13.63;6.85
MinGFL5>=1.8 AND MinBTTSL7>=0.6;703;475;228;67.57;8.13;6.85
MinBTTSL8>=0.7 AND MinGAL7>=1.2;863;583;280;67.56;9.98;6.84
MinBTTSL8>=0.8 AND MinOverL8>=0.5;299;202;97;67.56;3.46;6.84
MinOverL7>=0.6 AND MinGFFull>=1.4;1698;1147;551;67.55;19.65;6.83
MinGFFull>=1.8;1464;989;475;67.55;16.94;6.83
MinGFFull>=1.8 AND MinGFFull>=1.6;1464;989;475;67.55;16.94;6.83
MinGFFull>=1.8 AND MinGFFull>=1.4;1464;989;475;67.55;16.94;6.83
MinGFFull>=1.8 AND MinGFFull>=1.2;1464;989;475;67.55;16.94;6.83
AvgBTTSL5>=0.8 AND MinGAL5>=1.4;1171;791;380;67.55;13.55;6.83
MinGFL5>=1.8 AND MinOverL5>=0.5;1497;1011;486;67.54;17.32;6.82
MinGFL5>=1.8 AND MinOverL5>=0.6;1497;1011;486;67.54;17.32;6.82
MinGFL5>=1.8 AND MinBTTSL8>=0.5;1414;955;459;67.54;16.36;6.82
MinBTTSL8>=0.7 AND MinOverFull>=0.6;761;514;247;67.54;8.8;6.82
MinBTTSFull>=0.8 AND MinBTTSL8>=0.6;268;181;87;67.54;3.1;6.82
MinGFL7>=1.2 AND MinGAL5>=1.2;2544;1718;826;67.53;29.43;6.81
MinGFL8>=1.8 AND AvgBTTSL5>=0.7;884;597;287;67.53;10.23;6.81
MinGFL7>=1.8 AND MinOverL8>=0.6;1173;792;381;67.52;13.57;6.8
MinGFL5>=1.8 AND MinBTTSL8>=0.6;979;661;318;67.52;11.33;6.8
MinGFL8>=1.8 AND AvgBTTSL8>=0.7;662;447;215;67.52;7.66;6.8
AvgBTTSL8>=0.8 AND MinOverFull>=0.6;674;455;219;67.51;7.8;6.79
MinOverL7>=0.8 AND MinBTTSL5>=0.5;634;428;206;67.51;7.34;6.79
MinOverL7>=0.8 AND MinBTTSL5>=0.6;634;428;206;67.51;7.34;6.79
AvgBTTSL8>=0.7 AND AvgGAL7>=1.4;1763;1190;573;67.5;20.4;6.78
MinGFFull>=1.8 AND MinGFL5>=1.6;1237;835;402;67.5;14.31;6.78
MinGFL8>=1.8 AND AvgBTTSL5>=0.6;1206;814;392;67.5;13.95;6.78
MinBTTSL8>=0.8 AND MinGAFull>=1.2;280;189;91;67.5;3.24;6.78
DeltaOverL5>=0.3 AND MinGAL7>=1.0;40;27;13;67.5;0.46;6.78
MinGFL7>=1.8 AND MinOverL5>=0.5;1261;851;410;67.49;14.59;6.77
MinGFL7>=1.8 AND MinOverL5>=0.6;1261;851;410;67.49;14.59;6.77
AvgBTTSL8>=0.8 AND MinGAL5>=1.2;732;494;238;67.49;8.47;6.77
MinOverL7>=0.8 AND AvgBTTSL5>=0.6;729;492;237;67.49;8.43;6.77
MinGFFull>=1.4 AND AvgGAL8>=1.4;2306;1556;750;67.48;26.68;6.76
MinOverFull>=0.6 AND MinGAL7>=1.4;2085;1407;678;67.48;24.12;6.76
AvgBTTSFull>=0.7 AND AvgGAL7>=1.4;1713;1156;557;67.48;19.82;6.76
MinOverL8>=0.7 AND AvgBTTSL5>=0.6;1467;990;477;67.48;16.97;6.77
AvgBTTSFull>=0.7 AND MinGFL8>=1.6;941;635;306;67.48;10.89;6.76
AvgBTTSL8>=0.8 AND MinGFFull>=1.4;618;417;201;67.48;7.15;6.76
AvgBTTSFull>=0.8 AND MinBTTSL5>=0.7;369;249;120;67.48;4.27;6.76
AvgBTTSFull>=0.8 AND MinBTTSL5>=0.8;369;249;120;67.48;4.27;6.76
MinBTTSL8>=0.8 AND MinGAL8>=1.2;286;193;93;67.48;3.31;6.76
MinGAL8>=1.2 AND MinGFL8>=1.2;2567;1732;835;67.47;29.7;6.75
MinGFFull>=1.6 AND MinOverL5>=0.5;1746;1178;568;67.47;20.2;6.75
MinGFFull>=1.6 AND MinOverL5>=0.6;1746;1178;568;67.47;20.2;6.75
MinOverL8>=0.7 AND AvgGAL8>=1.4;1503;1014;489;67.47;17.39;6.75
MinOverL8>=0.7 AND AvgGAL7>=1.4;1503;1014;489;67.47;17.39;6.75
AvgBTTSL5>=0.8 AND MinGAL8>=1.2;1282;865;417;67.47;14.83;6.75
MinOverL7>=0.8 AND MinGFL8>=1.2;661;446;215;67.47;7.65;6.75
MinOverL8>=0.7 AND MinGFL5>=1.0;1466;989;477;67.46;16.96;6.74
AvgBTTSL8>=0.8 AND AvgGAL8>=1.6;710;479;231;67.46;8.21;6.75
MinOverL7>=0.8 AND MinGFL8>=1.6;507;342;165;67.46;5.87;6.74
MinBTTSL8>=0.8 AND MinOverL7>=0.5;295;199;96;67.46;3.41;6.74
MinBTTSFull>=0.6 AND AvgGAL5>=1.6;1871;1262;609;67.45;21.65;6.73
AvgBTTSFull>=0.6 AND MinGFL5>=1.6;1797;1212;585;67.45;20.79;6.73
MinOverL8>=0.7 AND MinBTTSFull>=0.6;983;663;320;67.45;11.37;6.73
MinOverL7>=0.8 AND MinGFL5>=1.8;427;288;139;67.45;4.94;6.73
MinGFL8>=1.4 AND AvgGAL8>=1.4;2113;1425;688;67.44;24.45;6.72
MinOverL5>=0.7 AND MinGAFull>=1.4;1035;698;337;67.44;11.98;6.72
MinOverL5>=0.8 AND MinGAFull>=1.4;1035;698;337;67.44;11.98;6.72
MinGFL7>=1.8 AND MinBTTSL7>=0.7;516;348;168;67.44;5.97;6.72
MinGAFull>=1.4 AND MinGFFull>=1.2;1999;1348;651;67.43;23.13;6.71
MinGFL8>=1.6 AND MinOverL8>=0.6;1738;1172;566;67.43;20.11;6.71
MinGFL8>=1.8 AND AvgBTTSL8>=0.6;1139;768;371;67.43;13.18;6.71
MinBTTSFull>=0.8 AND AvgBTTSL5>=0.8;261;176;85;67.43;3.02;6.71
MinGFL8>=1.2 AND AvgGAFull>=1.6;2244;1513;731;67.42;25.96;6.7
AvgBTTSL7>=0.7 AND MinGAFull>=1.4;1599;1078;521;67.42;18.5;6.7
MinOverL8>=0.7 AND AvgBTTSL8>=0.6;1421;958;463;67.42;16.44;6.7
MinGFFull>=1.8 AND MinGFL5>=1.2;1409;950;459;67.42;16.3;6.7
MinBTTSL8>=0.8 AND MinGFL5>=1.0;310;209;101;67.42;3.59;6.7
MinBTTSFull>=0.8 AND AvgBTTSL8>=0.7;267;180;87;67.42;3.09;6.7
MinBTTSFull>=0.8 AND MinBTTSL7>=0.7;267;180;87;67.42;3.09;6.7
MinBTTSFull>=0.8 AND MinBTTSL7>=0.6;267;180;87;67.42;3.09;6.7
MinBTTSFull>=0.8 AND MinBTTSL5>=0.5;267;180;87;67.42;3.09;6.7
MinBTTSFull>=0.8 AND MinBTTSL5>=0.6;267;180;87;67.42;3.09;6.7
MinBTTSFull>=0.8 AND MinGAL7>=1.0;264;178;86;67.42;3.05;6.7
MinGFL5>=1.8 AND MinOverL8>=0.5;1617;1090;527;67.41;18.71;6.69
MinGFFull>=1.8 AND MinGFL5>=1.0;1442;972;470;67.41;16.68;6.69
MinOverL7>=0.7 AND MinGFL8>=1.4;1393;939;454;67.41;16.12;6.69
MinOverL7>=0.7 AND AvgBTTSL8>=0.7;1025;691;334;67.41;11.86;6.69
MinGFL8>=1.2 AND AvgGAL7>=1.6;2310;1557;753;67.4;26.73;6.68
AvgBTTSL8>=0.7 AND AvgGAFull>=1.4;1733;1168;565;67.4;20.05;6.68
MinGFL5>=1.8 AND MinOverFull>=0.5;1552;1046;506;67.4;17.96;6.68
MinBTTSFull>=0.7 AND MinBTTSL5>=0.7;500;337;163;67.4;5.79;6.68
MinBTTSFull>=0.7 AND MinBTTSL5>=0.8;500;337;163;67.4;5.79;6.68
MinOverL7>=0.7 AND MinGFL7>=1.4;1484;1000;484;67.39;17.17;6.67
MinOverL7>=0.8 AND MinBTTSL7>=0.6;506;341;165;67.39;5.85;6.67
MinBTTSL7>=0.8 AND MinOverL5>=0.5;371;250;121;67.39;4.29;6.67
MinBTTSL7>=0.8 AND MinOverL5>=0.6;371;250;121;67.39;4.29;6.67
MinOverL7>=0.7 AND MinGAL7>=1.2;1689;1138;551;67.38;19.54;6.66
MinGFL7>=1.8 AND MinGAL7>=1.0;1128;760;368;67.38;13.05;6.66
MinBTTSL8>=0.7 AND MinOverL5>=0.7;466;314;152;67.38;5.39;6.66
MinBTTSL8>=0.7 AND MinOverL5>=0.8;466;314;152;67.38;5.39;6.66
AvgBTTSFull>=0.6 AND MinGAL7>=1.4;2449;1650;799;67.37;28.34;6.65
AvgBTTSL8>=0.7 AND MinGAL5>=1.2;1612;1086;526;67.37;18.65;6.65
MinBTTSL5>=0.7 AND MinGAL7>=1.4;763;514;249;67.37;8.83;6.65
MinBTTSL5>=0.8 AND MinGAL7>=1.4;763;514;249;67.37;8.83;6.65
MinGFL5>=1.4 AND AvgGAL7>=1.4;2390;1610;780;67.36;27.65;6.64
MinOverFull>=0.6 AND MinGFFull>=1.4;2154;1451;703;67.36;24.92;6.64
MinBTTSFull>=0.6 AND AvgGAL8>=1.6;1863;1255;608;67.36;21.56;6.64
MinOverL8>=0.7 AND MinGAL7>=1.0;1501;1011;490;67.36;17.37;6.64
MinGFFull>=1.8 AND MinGFL8>=1.2;1452;978;474;67.36;16.8;6.64
MinOverL7>=0.7 AND MinGFL5>=1.6;1204;811;393;67.36;13.93;6.64
AvgBTTSL7>=0.8 AND MinGFL8>=1.6;386;260;126;67.36;4.47;6.64
MinBTTSL8>=0.8 AND MinGFL7>=1.6;193;130;63;67.36;2.23;6.64
MinGFL8>=1.2 AND AvgGAL8>=1.6;2325;1566;759;67.35;26.9;6.64
AvgBTTSFull>=0.7 AND MinOverFull>=0.6;1473;992;481;67.35;17.04;6.63
MinOverL7>=0.8 AND MinGFL7>=1.6;487;328;159;67.35;5.63;6.63
MinGFFull>=1.6 AND MinOverL7>=0.5;1880;1266;614;67.34;21.75;6.62
MinBTTSFull>=0.6 AND AvgGAL7>=1.6;1837;1237;600;67.34;21.25;6.62
MinOverL7>=0.7 AND MinGAL8>=1.2;1721;1159;562;67.34;19.91;6.62
AvgBTTSFull>=0.7 AND AvgGAL8>=1.4;1721;1159;562;67.34;19.91;6.62
MinGFL5>=1.8 AND MinBTTSL7>=0.5;1240;835;405;67.34;14.35;6.62
MinOverL7>=0.8;790;532;258;67.34;9.14;6.62
MinOverL7>=0.8 AND MinOverL8>=0.7;790;532;258;67.34;9.14;6.62
MinOverL7>=0.8 AND MinOverL5>=0.7;790;532;258;67.34;9.14;6.62
MinOverL7>=0.8 AND MinOverL5>=0.8;790;532;258;67.34;9.14;6.62
MinOverL7>=0.8 AND MinOverL7>=0.7;790;532;258;67.34;9.14;6.62
MinOverL7>=0.8 AND MinOverL7>=0.6;790;532;258;67.34;9.14;6.62
MinOverL7>=0.8 AND MinOverL8>=0.6;790;532;258;67.34;9.14;6.62
MinOverL7>=0.8 AND MinOverL7>=0.5;790;532;258;67.34;9.14;6.62
MinOverL7>=0.8 AND MinOverL5>=0.5;790;532;258;67.34;9.14;6.62
MinOverL7>=0.8 AND MinOverL5>=0.6;790;532;258;67.34;9.14;6.62
MinOverL7>=0.8 AND MinOverL8>=0.5;790;532;258;67.34;9.14;6.62
MinOverL7>=0.8 AND MinOverL8>=0.4;790;532;258;67.34;9.14;6.62
MinOverL7>=0.8 AND MinOverFull>=0.5;790;532;258;67.34;9.14;6.62
AvgBTTSL8>=0.7 AND AvgGAL8>=1.4;1763;1187;576;67.33;20.4;6.61
MinOverFull>=0.6 AND MinGFL5>=1.6;1616;1088;528;67.33;18.7;6.61
AvgBTTSFull>=0.7 AND MinGAL5>=1.2;1552;1045;507;67.33;17.96;6.61
AvgBTTSL8>=0.7 AND MinGFFull>=1.4;1304;878;426;67.33;15.09;6.61
MinOverL7>=0.8 AND MinGFL7>=1.8;401;270;131;67.33;4.64;6.61
MinGFL7>=1.4 AND AvgGAL8>=1.4;2280;1535;745;67.32;26.38;6.6
MinOverL5>=0.7 AND MinGAFull>=1.2;1267;853;414;67.32;14.66;6.6
MinOverL5>=0.8 AND MinGAFull>=1.2;1267;853;414;67.32;14.66;6.6
AvgBTTSL7>=0.8 AND MinGAL7>=1.4;511;344;167;67.32;5.91;6.6
