Engine;LeagueId;Home;Away;Reason
v21;Hungary_NBI;Vasas;Győr;Squadra non trovata nella classifica ricostruita
v21;Hungary_NBI;Debrecen;Puskas Academy;Squadra non trovata nella classifica ricostruita
v21;Hungary_NBI;Paks;Ferencvaros;Squadra non trovata nella classifica ricostruita
v21;Romania_Superliga;CFR Cluj;FC Voluntari;Squadra non trovata nella classifica ricostruita
v21;Denmark_Superliga;Randers;Silkeborg;Squadra non trovata nella classifica ricostruita
v21;Poland_Ekstraklasa;Zaglebie;Piast;Squadra non trovata nella classifica ricostruita
v21;Poland_Division1;Legnica;Podbeskidzie;Squadra non trovata nella classifica ricostruita
v21;CzechRepublic_1Liga;Artis Brno;Mlada Boleslav;Squadra non trovata nella classifica ricostruita
v21;CzechRepublic_ChNL;Opava;Karvina;Squadra non trovata nella classifica ricostruita
v21;Slovakia_2Liga;Samorin;Malzenice;Squadra non trovata nella classifica ricostruita
v21;Hungary_NBI;MTK Budapest;Zalaegerszeg;Squadra non trovata nella classifica ricostruita
v21;Finland_Kolmonen_Western_Group3;VPV;KPV/Akatemia;Squadra non trovata nella classifica ricostruita
v21dev;USA_MLSNextPro_EasternConference_SoutheastDivision;Atlanta United 2;Toronto FC II;Squadra non trovata nella classifica ricostruita
v21dev;USA_MLSNextPro_WesternConference_CentralDivision;Huntsville;Chicago Fire II;Squadra non trovata nella classifica ricostruita
v21dev;USA_MLSNextPro_EasternConference_SoutheastDivision;Crown Legacy;New York City II;Squadra non trovata nella classifica ricostruita
v21dev;Bulgaria_ParvaLiga;Slavia Sofia;CSKA Sofia;Squadra non trovata nella classifica ricostruita
v21dev;Bulgaria_ParvaLiga;Botev Plovdiv;Lok. Sofia;Squadra non trovata nella classifica ricostruita
v21dev;Romania_Superliga;Corvinul;Csikszereda M. Ciuc;Squadra non trovata nella classifica ricostruita
v21dev;Romania_Superliga;Rapid Bucarest;Sepsi Sf. Gheorghe;Squadra non trovata nella classifica ricostruita
v21dev;Germany_Oberliga_Bayern_Nord;Grossbardorf;Wurzburger FV;Squadra non trovata nella classifica ricostruita
v21dev;Germany_Oberliga_Bayern_Nord;Bamberg;Weiden;Squadra non trovata nella classifica ricostruita
v21dev;Germany_Oberliga_Bayern_Nord;DJK Bamberg;Kornburg;Squadra non trovata nella classifica ricostruita
v21dev;Germany_Oberliga_Bayern_Nord;Neudrossenfeld;Fortuna Regensburg;Squadra non trovata nella classifica ricostruita
v21dev;Germany_Oberliga_Bayern_Sud;Ismaning;Pfaffenhofen;Squadra non trovata nella classifica ricostruita
v21dev;Germany_Oberliga_Bayern_Sud;Kottern-St. Mang;Schwabmunchen;Squadra non trovata nella classifica ricostruita
v21dev;Germany_Oberliga_Bayern_Sud;Pipinsried;Heimstetten;Squadra non trovata nella classifica ricostruita
v21dev;Germany_Oberliga_Bayern_Sud;Rosenheim;Schalding;Squadra non trovata nella classifica ricostruita
