Rule1;Rule2;Rule3;ALTA_OK;ALTA_KO;MEDIA_OK;MEDIA_KO;AltaTotal;AltaHitRate;MediaTotal;MediaHitRate;PrimaryUse
HomeLongBreakDays<=25.0;HomeGFAvgSinceRestart>=2.0;AwayPPGLast5<=0.8;39;5;11;5;44;0.886364;16;0.6875;REDUCE_ALTA_KO
HomeLongBreakDays<=28.0;HomeOverRateSinceRestart>=0.8;HomeGFAvgSinceRestart>=2.0;140;18;30;19;158;0.886076;49;0.612245;REDUCE_ALTA_KO
HomeGFAvgSinceRestart>=1.667;AwayPPGLast5<=0.8;HomeMatchesSinceRestart>=3.0;70;9;45;13;79;0.886076;58;0.775862;REDUCE_ALTA_KO
HomeGFAvgSinceRestart>=1.667;AwayPPGLast5<=0.8;HomeMatchesSinceRestart>=3.0;70;9;45;13;79;0.886076;58;0.775862;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=0.8;HomeLongBreakDays<=32.0;HomeGFAvgSinceRestart>=2.0;171;22;38;22;193;0.88601;60;0.633333;REDUCE_ALTA_KO
HomeLongBreakDays<=23.0;HomeGFAvgSinceRestart>=2.0;AwayPPGLast5<=0.8;31;4;8;4;35;0.885714;12;0.666667;REDUCE_ALTA_KO
HomeLongBreakDays<=25.0;HomeGFAvgSinceRestart>=2.0332;HomeMatchesSinceRestart>=3.0;85;11;26;8;96;0.885417;34;0.764706;REDUCE_ALTA_KO
HomeLongBreakDays<=25.0;HomeGFAvgSinceRestart>=2.0332;HomeMatchesSinceRestart>=3.0;85;11;26;8;96;0.885417;34;0.764706;REDUCE_ALTA_KO
HomeLongBreakDays<=29.0;HomeOverRateSinceRestart>=0.8;HomeGFAvgSinceRestart>=1.667;162;21;31;26;183;0.885246;57;0.54386;REDUCE_ALTA_KO
HomeLongBreakDays<=28.0;HomeOverRateSinceRestart>=0.8;AwayPPGLast5<=0.8;54;7;20;8;61;0.885246;28;0.714286;REDUCE_ALTA_KO
HomeLongBreakDays<=29.0;HomeGFAvgSinceRestart>=2.5;HomeOverRateSinceRestart>=0.714;100;13;21;14;113;0.884956;35;0.6;REDUCE_ALTA_KO
HomeLongBreakDays<=28.0;HomeGFAvgSinceRestart>=2.0332;HomeOverRateSinceRestart>=0.714;123;16;28;16;139;0.884892;44;0.636364;REDUCE_ALTA_KO
HomeLongBreakDays<=29.0;HomeOverRateSinceRestart>=1.0;HomeGFAvgSinceRestart>=1.667;115;15;25;17;130;0.884615;42;0.595238;REDUCE_ALTA_KO
HomeLongBreakDays<=29.0;HomeOverRateSinceRestart>=1.0;HomeGFAvgSinceRestart>=1.667;115;15;25;17;130;0.884615;42;0.595238;REDUCE_ALTA_KO
HomeLongBreakDays<=25.0;HomeOverRateSinceRestart>=0.8;HomeGFAvgSinceRestart>=2.0332;69;9;7;8;78;0.884615;15;0.466667;REDUCE_ALTA_KO
HomeGFAvgSinceRestart>=2.5;HomeLongBreakDays<=35.0;AwayPPGLast5<=0.8;46;6;12;6;52;0.884615;18;0.666667;REDUCE_ALTA_KO
HomeGFAvgSinceRestart>=1.667;AwayPPGLast5<=0.8;HomeOverRateSinceRestart>=0.667;84;11;40;17;95;0.884211;57;0.701754;REDUCE_ALTA_KO
HomeLongBreakDays<=28.0;HomeOverRateSinceRestart>=1.0;HomeGFAvgSinceRestart>=2.5;61;8;13;9;69;0.884058;22;0.590909;REDUCE_ALTA_KO
HomeLongBreakDays<=28.0;HomeOverRateSinceRestart>=1.0;HomeGFAvgSinceRestart>=2.5;61;8;13;9;69;0.884058;22;0.590909;REDUCE_ALTA_KO
HomeLongBreakDays<=35.0;HomeGFAvgSinceRestart>=1.667;AwayPPGLast5<=0.8;83;11;37;22;94;0.882979;59;0.627119;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=0.8;HomeGFAvgSinceRestart>=2.0332;HomeLongBreakDays<=35.0;143;19;34;21;162;0.882716;55;0.618182;REDUCE_ALTA_KO
HomeLongBreakDays<=28.0;HomeOverRateSinceRestart>=1.0;HomeGFAvgSinceRestart>=2.0;97;13;24;11;110;0.881818;35;0.685714;REDUCE_ALTA_KO
HomeLongBreakDays<=28.0;HomeOverRateSinceRestart>=1.0;HomeGFAvgSinceRestart>=2.0;97;13;24;11;110;0.881818;35;0.685714;REDUCE_ALTA_KO
HomeLongBreakDays<=25.0;HomeGFAvgSinceRestart>=2.0332;HomeOverRateSinceRestart>=0.667;89;12;20;10;101;0.881188;30;0.666667;REDUCE_ALTA_KO
HomeLongBreakDays<=29.0;HomeOverRateSinceRestart>=1.0;AwayPPGLast5<=0.8;37;5;18;7;42;0.880952;25;0.72;REDUCE_ALTA_KO
HomeLongBreakDays<=29.0;HomeOverRateSinceRestart>=1.0;AwayPPGLast5<=0.8;37;5;18;7;42;0.880952;25;0.72;REDUCE_ALTA_KO
HomeGFAvgSinceRestart>=2.0332;HomeLongBreakDays<=32.0;HomeOverRateSinceRestart>=0.714;147;20;35;19;167;0.88024;54;0.648148;REDUCE_ALTA_KO
HomeLongBreakDays<=28.0;HomeGFAvgSinceRestart>=2.5;HomeOverRateSinceRestart>=0.714;95;13;21;14;108;0.87963;35;0.6;REDUCE_ALTA_KO
HomeLongBreakDays<=29.0;HomeOverRateSinceRestart>=0.714;HomeGFAvgSinceRestart>=2.0;168;23;44;21;191;0.879581;65;0.676923;REDUCE_ALTA_KO
HomeLongBreakDays<=28.0;HomeOverRateSinceRestart>=1.0;HomeGFAvgSinceRestart>=2.0332;73;10;14;10;83;0.879518;24;0.583333;REDUCE_ALTA_KO
HomeLongBreakDays<=28.0;HomeOverRateSinceRestart>=1.0;HomeGFAvgSinceRestart>=2.0332;73;10;14;10;83;0.879518;24;0.583333;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=1.0;HomeLongBreakDays<=32.0;HomeGFAvgSinceRestart>=2.0;124;17;32;14;141;0.879433;46;0.695652;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=1.0;HomeLongBreakDays<=32.0;HomeGFAvgSinceRestart>=2.0;124;17;32;14;141;0.879433;46;0.695652;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=1.0;HomeGFAvgSinceRestart>=2.5;HomeMatchesSinceRestart>=3.0;51;7;16;4;58;0.87931;20;0.8;REDUCE_ALTA_KO
