Driver1;Driver2;Count;Correlation;AbsoluteCorrelation;RedundancyLevel
HomeVenueOverScore;HomeGFAvgSinceRestart;43;0.228839;0.228839;LOW
HomeLongBreakDays;HomeOverRateSinceRestart;43;-0.228462;0.228462;LOW
HomeOverRateSinceRestart;AwayRestartNotReady;43;-0.228099;0.228099;LOW
HomeOverRateSinceRestart;AwayRestartReady;43;0.228099;0.228099;LOW
AwayAttackScore;AwayGALast5Avg;43;-0.228093;0.228093;LOW
AwayAttackScore;HomeVenueOverScore;43;-0.226809;0.226809;LOW
BTTSProfileScore;HomeMatchesSinceRestart;43;0.226266;0.226266;LOW
AwayAttackScore;HomeRestartNotReady;43;0.225986;0.225986;LOW
AwayAttackScore;HomeRestartReady;43;-0.225986;0.225986;LOW
AwayWinsLast5;HomeGFAvgSinceRestart;43;-0.223617;0.223617;LOW
AveragePPGLast5;AtLeastOneTeamRestartNotReady;43;0.223244;0.223244;LOW
TotalPPGLast5;AtLeastOneTeamRestartNotReady;43;0.223244;0.223244;LOW
HomeDefenseWeaknessScore;AwayMatchesSinceRestart;43;0.223013;0.223013;LOW
HomeWinsLast5;AwayRestartNotReady;43;0.222659;0.222659;LOW
HomeWinsLast5;AwayRestartReady;43;-0.222659;0.222659;LOW
HomeAttackScore;AwayGFAvgSinceRestart;43;-0.221701;0.221701;LOW
AwayGALast5Avg;AwayGFAvgSinceRestart;43;-0.221439;0.221439;LOW
HomeLast10OverScore;HomeGALast5Avg;43;0.221243;0.221243;LOW
HomeGFLast5Avg;HomeMatchesSinceRestart;43;0.220958;0.220958;LOW
AwayDefenseWeaknessScore;AwayRestartNotReady;43;-0.2206;0.2206;LOW
AwayDefenseWeaknessScore;AwayRestartReady;43;0.2206;0.2206;LOW
HomeGFAvgSinceRestart;AtLeastOneTeamRestartNotReady;43;-0.220317;0.220317;LOW
AwayWinsLast5;AwayOverRateSinceRestart;43;0.218662;0.218662;LOW
HomePPGLast5;AwayGFAvgSinceRestart;43;-0.218425;0.218425;LOW
AwayPPGLast5;AwayLongBreakDays;43;0.218385;0.218385;LOW
AwayDefenseWeaknessScore;BTTSProfileScore;43;0.21602;0.21602;LOW
AwayLowPPGLowGF;AtLeastOneTeamRestartNotReady;43;0.215785;0.215785;LOW
HomeAttackScore;AtLeastOneTeamRestartNotReady;43;-0.215593;0.215593;LOW
AwayDefenseWeaknessScore;HomeLast10OverScore;43;0.215079;0.215079;LOW
AwayVenueOverScore;AtLeastOneTeamRestartNotReady;43;-0.214404;0.214404;LOW
AwayAttackScore;HomeWinlessLast5;43;0.214163;0.214163;LOW
HomeLast10OverScore;AwayRestartNotReady;43;-0.213609;0.213609;LOW
HomeLast10OverScore;AwayRestartReady;43;0.213609;0.213609;LOW
