LeagueId;PredictionDate;MatchDate;Round;Home;Away;Band;Outcome;HG;AG;MatchStatus;Reason;BaseCandidates;HistorySource
Germany_Oberliga_Hamburg;2026-07-30;2026-07-31;2;Wandsbeker Concordia;HEBC Hamburg;BASSA;KO;0;2;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Germany_Oberliga_Hamburg;2026-07-30;2026-07-31;2;ETSV Hamburg;Teutonia Ottensen;BASSA;OK;2;1;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Bulgaria_ParvaLiga;2026-07-30;2026-07-31;3;Slavia Sofia;Lok. Sofia;BASSA;KO;1;1;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Germany_Regionalliga_Bayern;2026-07-30;2026-07-31;2;Augsburg II;Landsberg;BASSA;OK;3;2;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
CzechRepublic_ChNL;2026-07-30;2026-07-31;2;Zizkov;Prostejov;BASSA;KO;1;0;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Poland_Division2;2026-07-30;2026-07-31;2;Pruszkow;Legia II;BASSA;OK;2;1;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Poland_Division2;2026-07-30;2026-07-31;2;S. Wola;Tychy;BASSA;OK;1;2;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
CzechRepublic_ChNL;2026-07-30;2026-07-31;2;Taborsko;Dukla Praga;BASSA;OK;2;2;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
;<<<<<<< Updated upstream;;;;;;;;;;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
;=======;;;;;;;;;;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
;>>>>>>> Stashed changes;;;;;;;;;;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
