id;data;model_version;country;league;home;away;match;risultato;ESITO;score;band;ranking_component;strong_gf_component;weak_ga_component;strong_ga_component;weak_gf_component;last10_component;real_over_index_component;random_component;reason;Column1;_1;_2
20260623_007;23/06/2026;1.1;Finland;Veikkausliiga;KuPS;Ilves;KuPS - Ilves;4-3;;55.86;MEDIA;5.79;12.18;15.91;4.97;7;5.97;4.04;0;Squadra alta: KuPS (3¦), squadra bassa: Ilves (8¦) | GF alta: 1.46/gara | GS bassa: 1.75/gara | Profilo ultime 10: 0.60;;;
20260623_008;23/06/2026;1.1;Finland;Veikkausliiga;Mariehamn;HJK;Mariehamn - HJK;0-4;;55.04;MEDIA;9.26;14.58;15.7;5.83;3.18;3.9;2.58;0;Squadra alta: HJK (4¦), squadra bassa: Mariehamn (12¦) | GF alta: 1.75/gara | GS bassa: 1.73/gara | Profilo ultime 10: 0.39;;;
20260623_009;23/06/2026;1.1;Kyrgyzstan;Premier League;Alga;Bars;Alga - Bars;3-1;;54.32;MEDIA;10.4;18.06;9.09;4.94;7;7.69;6.5;0;Squadra alta: Alga (3¦), squadra bassa: Bars (5¦) | GF alta: 2.17/gara | GS bassa: 1.00/gara | Profilo ultime 10: 0.77;;;
20260623_010;23/06/2026;1.1;Georgia;Erovnuli Liga;Iberia 1999;Meshakhte Tkibuli;Iberia 1999 - Meshakhte Tkibuli;2-1;;52.34;MEDIA;9.26;11.57;16.16;5.09;3.89;3.59;2.78;0;Squadra alta: Iberia 1999 (2¦), squadra bassa: Meshakhte Tkibuli (10¦) | GF alta: 1.39/gara | GS bassa: 1.78/gara | Profilo ultime 10: 0.36;;;
20260623_011;23/06/2026;1.1;Georgia;Erovnuli Liga;Din. Tbilisi;Dinamo Batumi;Din. Tbilisi - Dinamo Batumi;1-2;;50.61;MEDIA;10.4;13.43;14.14;5.98;7;5.41;3.61;0;Squadra alta: Din. Tbilisi (3¦), squadra bassa: Dinamo Batumi (5¦) | GF alta: 1.61/gara | GS bassa: 1.56/gara | Profilo ultime 10: 0.54;;;
20260623_012;23/06/2026;1.1;Finland;Veikkausliiga;Lahti;TPS Turku;Lahti - TPS Turku;0-0;;50.02;MEDIA;9.9;9.09;11.57;5.38;7;4.35;2.73;0;Squadra alta: TPS Turku (7¦), squadra bassa: Lahti (9¦) | GF alta: 1.09/gara | GS bassa: 1.27/gara | Profilo ultime 10: 0.43;;;
20260623_013;23/06/2026;1.1;Russia;FNL2 Group B;Zvezda St. Peterburg;Sp. Mosca 2;Zvezda St. Peterburg - Sp. Mosca 2;2-3;;49.91;MEDIA;9.9;7.58;13.64;7;5.35;3.88;2.58;0;Squadra alta: Zvezda St. Peterburg (9¦), squadra bassa: Sp. Mosca 2 (10¦) | GF alta: 0.91/gara | GS bassa: 1.50/gara | Profilo ultime 10: 0.39;;;
20260623_014;23/06/2026;1.1;Kyrgyzstan;Premier League;Neftchi Kochkor-Ata;Dordoi Bishkek;Neftchi Kochkor-Ata - Dordoi Bishkek;1-3;;47.98;MEDIA;3.47;9.03;13.64;7;6.32;5.19;3.33;0;Squadra alta: Neftchi Kochkor-Ata (11¦), squadra bassa: Dordoi Bishkek (14¦) | GF alta: 1.08/gara | GS bassa: 1.50/gara | Profilo ultime 10: 0.52;;;
20260623_015;23/06/2026;1.1;Finland;Veikkausliiga;VPS;Oulu;VPS - Oulu;5-1;;42.52;BASSA;4.63;12.5;7.44;4.04;5.83;4.63;3.45;0;Squadra alta: Oulu (2¦), squadra bassa: VPS (6¦) | GF alta: 1.50/gara | GS bassa: 0.82/gara | Profilo ultime 10: 0.46;;;
20260623_016;23/06/2026;1.1;USA;USL League Two;Boston City;Vermont Green;Boston City - Vermont Green;1-4;;78.78;ALTA;10.42;20;20;3.59;7;8.88;8.89;0;Squadra alta: Vermont Green (1¦), squadra bassa: Boston City (10¦) | GF alta: 4.78/gara | GS bassa: 3.89/gara | Profilo ultime 10: 0.89;;;
20260623_017;23/06/2026;1.1;USA;USL League Two;Delaware;Reading;Delaware - Reading;1-2;;76.86;ALTA;9.9;16.67;17.05;7;7;9.81;9.44;0;Squadra alta: Delaware (6¦), squadra bassa: Reading (8¦) | GF alta: 2.00/gara | GS bassa: 1.88/gara | Profilo ultime 10: 0.98;;;
20260623_018;23/06/2026;1.1;USA;USL League Two;Hill Country Lobos;Laredo Heat;Hill Country Lobos - Laredo Heat;0-5;;76.74;ALTA;6.95;20;20;3.08;7;9.71;10;0;Squadra alta: Laredo Heat (2¦), squadra bassa: Hill Country Lobos (8¦) | GF alta: 2.43/gara | GS bassa: 2.43/gara | Profilo ultime 10: 0.97;;;
20260623_019;23/06/2026;1.1;USA;USL League Two;Cleveland Force;Buffalo;Cleveland Force - Buffalo;;;73.57;MEDIA-ALTA;15.6;20;20;5.38;7;9.62;10;0;Squadra alta: Buffalo (2¦), squadra bassa: Cleveland Force (5¦) | GF alta: 2.50/gara | GS bassa: 3.22/gara | Profilo ultime 10: 0.96;;;
