Window;MatchDate;LeagueId;Home;Away;Outcome;StoredV20Score;RecomputedLast10Score;RecomputedLast10Band;ParityDelta;ParityOK;RankingGapScore;HomeAttackScore;AwayDefenseWeaknessScore;Last10Score;Last10Band;HomeLast10Rate;AwayLast10Rate;HomeLast10Sequence;AwayLast10Sequence;Last9Score;Last9Band;HomeLast9Rate;AwayLast9Rate;HomeLast9Sequence;AwayLast9Sequence;Last8Score;Last8Band;HomeLast8Rate;AwayLast8Rate;HomeLast8Sequence;AwayLast8Sequence;Last7Score;Last7Band;HomeLast7Rate;AwayLast7Rate;HomeLast7Sequence;AwayLast7Sequence;Last6Score;Last6Band;HomeLast6Rate;AwayLast6Rate;HomeLast6Sequence;AwayLast6Sequence;Last5Score;Last5Band;HomeLast5Rate;AwayLast5Rate;HomeLast5Sequence;AwayLast5Sequence
Last6;2026-08-01;Australia_NPLACT;Queanbeyan City;Brindabella;OK;75.02;75.02;ALTA;0.0;True;6.02;20.0;25.0;75.02;ALTA;0.9;0.7;1111111110;1110111010;74.35;MEDIA-ALTA;0.888889;0.666667;111111110;110111010;73.52;MEDIA-ALTA;0.875;0.625;11111110;10111010;72.45;MEDIA-ALTA;0.857143;0.571429;1111110;0111010;73.52;MEDIA-ALTA;0.833333;0.666667;111110;111010;72.02;MEDIA-ALTA;0.8;0.6;11110;11010
Last6;2026-08-06;Finland_Kolmonen_Western_Group2;FC Lasten;TP-T;OK;77.05;77.05;ALTA;0.0;True;5.72;25.0;20.83;77.05;ALTA;0.8;0.9;1111111100;1111110111;76.55;ALTA;0.777778;0.888889;111111100;111110111;75.92;ALTA;0.75;0.875;11111100;11110111;75.12;ALTA;0.714286;0.857143;1111100;1110111;74.05;MEDIA-ALTA;0.666667;0.833333;111100;110111;72.55;MEDIA-ALTA;0.6;0.8;11100;10111
Last6;2026-08-07;Australia_NPLQueensland;Queensland Lions;Brisbane Roar U23;OK;78.68;78.68;ALTA;0.0;True;10.18;25.0;22.5;78.68;ALTA;0.6;0.8;1111101000;1111110110;77.68;ALTA;0.555556;0.777778;111101000;111110110;76.43;ALTA;0.5;0.75;11101000;11110110;74.82;MEDIA-ALTA;0.428571;0.714286;1101000;1110110;72.68;MEDIA-ALTA;0.333333;0.666667;101000;110110;69.68;MEDIA-ALTA;0.2;0.6;01000;10110
Last6;2026-08-08;Norway_3rdDivision_Group2;Volda TI;Nardo;KO;76.25;76.25;ALTA;0.0;True;5.18;25.0;23.57;76.25;ALTA;0.7;0.8;1101111010;1111010111;75.42;ALTA;0.666667;0.777778;101111010;111010111;74.38;MEDIA-ALTA;0.625;0.75;01111010;11010111;75.18;ALTA;0.714286;0.714286;1111010;1010111;73.75;MEDIA-ALTA;0.666667;0.666667;111010;010111;74.75;MEDIA-ALTA;0.6;0.8;11010;10111
Last6;2026-08-08;Norway_2ndDivision_Group1;Jerv;Vidar;OK;76.2;76.2;ALTA;0.0;True;7.2;20.0;25.0;76.2;ALTA;0.9;0.7;1111011111;1011001111;75.53;ALTA;0.888889;0.666667;111011111;011001111;76.58;ALTA;0.875;0.75;11011111;11001111;75.77;ALTA;0.857143;0.714286;1011111;1001111;74.7;MEDIA-ALTA;0.833333;0.666667;011111;001111;79.2;ALTA;1.0;0.8;11111;01111
Last6;2026-08-08;Norway_3rdDivision_Group5;Harstad;Skjervoy;OK;75.91;75.91;ALTA;0.0;True;1.12;25.0;24.29;75.91;ALTA;0.9;0.8;1111111011;1111001111;75.41;ALTA;0.888889;0.777778;111111011;111001111;74.78;MEDIA-ALTA;0.875;0.75;11111011;11001111;73.98;MEDIA-ALTA;0.857143;0.714286;1111011;1001111;72.91;MEDIA-ALTA;0.833333;0.666667;111011;001111;74.41;MEDIA-ALTA;0.8;0.8;11011;01111
Last6;2026-08-08;Norway_3rdDivision_Group3;Fana;Gneist;OK;75.37;75.37;ALTA;0.0;True;2.08;24.29;25.0;75.37;ALTA;0.8;0.8;0111101111;1111100111;76.37;ALTA;0.888889;0.777778;111101111;111100111;75.75;ALTA;0.875;0.75;11101111;11100111;74.94;MEDIA-ALTA;0.857143;0.714286;1101111;1100111;73.87;MEDIA-ALTA;0.833333;0.666667;101111;100111;72.37;MEDIA-ALTA;0.8;0.6;01111;00111
Last5;2026-06-25;Norway_3rdDivision_Group3;Austevoll;Fyllingsdalen;KO;72.32;75.09;ALTA;2.77;False;1.86;22.73;25.0;75.09;ALTA;1.0;0.7;1111111111;1011111100;74.59;MEDIA-ALTA;1.0;0.666667;111111111;011111100;75.84;ALTA;1.0;0.75;11111111;11111100;75.3;ALTA;1.0;0.714286;1111111;1111100;74.59;MEDIA-ALTA;1.0;0.666667;111111;111100;73.59;MEDIA-ALTA;1.0;0.6;11111;11100
Last5;2026-06-26;Norway_3rdDivision_Group5;Skedsmo;Skjetten;KO;77.25;77.25;ALTA;0.0;True;4.48;24.55;22.73;77.26;ALTA;0.8;0.9;1111110101;1111111110;76.76;ALTA;0.777778;0.888889;111110101;111111110;76.14;ALTA;0.75;0.875;11110101;11111110;75.33;ALTA;0.714286;0.857143;1110101;1111110;74.26;MEDIA-ALTA;0.666667;0.833333;110101;111110;72.76;MEDIA-ALTA;0.6;0.8;10101;11110
Last5;2026-07-25;Australia_TasmaniaNorthernChampionship;Burnie Utd.;Launceston United U21;OK;77.57;77.57;ALTA;0.0;True;4.86;20.71;25.0;77.57;ALTA;0.9;0.9;1111111011;1111110111;77.24;ALTA;0.888889;0.888889;111111011;111110111;76.82;ALTA;0.875;0.875;11111011;11110111;76.28;ALTA;0.857143;0.857143;1111011;1110111;75.57;ALTA;0.833333;0.833333;111011;110111;74.57;MEDIA-ALTA;0.8;0.8;11011;10111
