Metric;Month;AltaOK;AltaKO;AltaKOShare;MediaOK;MediaKO;MediaOKPrecision;Occurrences
attack_max_ge_4__AND__last10_sum_ge_6;2026-08;714;209;0.22643553629469124;1165;700;0.6246648793565683;4791
attack_max_ge_4__AND__last10_sum_ge_6;2026-09;97;48;0.3310344827586207;213;153;0.5819672131147541;1183
attack_max_ge_6;2026-07;232;109;0.3196480938416422;252;143;0.6379746835443038;1309
attack_max_ge_6;2026-08;714;209;0.22643553629469124;1133;680;0.6249310535024821;4584
attack_max_ge_6;2026-09;97;48;0.3310344827586207;204;149;0.5779036827195467;1128
attack_max_ge_8;2026-07;232;109;0.3196480938416422;234;128;0.6464088397790055;1202
attack_max_ge_8;2026-08;712;207;0.2252448313384113;1058;620;0.6305125148986889;4164
attack_max_ge_8;2026-09;96;48;0.3333333333333333;192;138;0.5818181818181818;1009
attack_max_le_10;2026-07;14;9;0.391304347826087;82;54;0.6029411764705882;463
attack_max_le_10;2026-08;42;9;0.17647058823529413;415;263;0.612094395280236;1827
attack_max_le_10;2026-09;8;3;0.2727272727272727;73;61;0.5447761194029851;487
attack_max_le_11;2026-07;32;17;0.3469387755102041;118;80;0.5959595959595959;619
attack_max_le_11;2026-08;113;38;0.25165562913907286;549;350;0.610678531701891;2255
attack_max_le_11;2026-09;16;10;0.38461538461538464;107;81;0.5691489361702128;621
attack_max_le_12;2026-07;62;32;0.3404255319148936;167;100;0.6254681647940075;815
attack_max_le_12;2026-08;198;60;0.23255813953488372;757;487;0.6085209003215434;3013
attack_max_le_12;2026-09;26;15;0.36585365853658536;143;107;0.572;780
attack_max_le_13;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1407
attack_max_le_13;2026-08;714;209;0.22643553629469124;1168;703;0.6242650988776055;4960
attack_max_le_13;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1234
attack_max_le_13__AND__away_defense_weakness_le_10;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1407
attack_max_le_13__AND__away_defense_weakness_le_10;2026-08;714;209;0.22643553629469124;1168;703;0.6242650988776055;4960
attack_max_le_13__AND__away_defense_weakness_le_10;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1234
attack_max_le_13__AND__away_venue_le_10;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1407
attack_max_le_13__AND__away_venue_le_10;2026-08;714;209;0.22643553629469124;1168;703;0.6242650988776055;4960
attack_max_le_13__AND__away_venue_le_10;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1234
attack_max_le_13__AND__defense_gap_le_10;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1407
attack_max_le_13__AND__defense_gap_le_10;2026-08;714;209;0.22643553629469124;1168;703;0.6242650988776055;4960
attack_max_le_13__AND__defense_gap_le_10;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1234
attack_max_le_13__AND__defense_gap_le_8;2026-07;232;109;0.3196480938416422;254;143;0.6397984886649875;1393
attack_max_le_13__AND__defense_gap_le_8;2026-08;714;209;0.22643553629469124;1155;694;0.6246619794483504;4892
attack_max_le_13__AND__defense_gap_le_8;2026-09;97;48;0.3310344827586207;213;153;0.5819672131147541;1210
attack_max_le_13__AND__defense_gap_le_9;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1396
attack_max_le_13__AND__defense_gap_le_9;2026-08;714;209;0.22643553629469124;1165;699;0.625;4930
attack_max_le_13__AND__defense_gap_le_9;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1221
attack_max_le_13__AND__defense_max_ge_2;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1352
attack_max_le_13__AND__defense_max_ge_2;2026-08;714;209;0.22643553629469124;1168;703;0.6242650988776055;4929
attack_max_le_13__AND__defense_max_ge_2;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1225
